,maxx,i,j,q,orders_long,orders_short,alpha
3098,-1.4349399609981663,13,23,2,8,4,-8.609639765988998
3401,-0.6150808506803478,13,39,1,16,12,-8.611131909524868
8705,-1.0130907371629942,27,38,4,5,12,-8.61127126588545
611,-0.34446179466422117,6,32,4,28,22,-8.611544866605529
7245,-8.61289726265492,24,21,7,1,1,-8.61289726265492
7860,-1.5661638473712516,25,33,14,5,6,-8.613901160541884
1467,-0.35165801518924666,8,37,5,27,22,-8.615621372136543
11725,-1.2314156112783956,36,36,3,7,7,-8.61990927894877
3898,-1.5680868086202233,15,25,4,7,4,-8.624477447411229
7028,-1.232180905654931,23,29,18,6,8,-8.625266339584517
11898,-4.3128940039112855,37,28,5,2,2,-8.625788007822571
3065,-2.1573521416696995,13,21,7,5,3,-8.629408566678798
10404,-1.9180549855941198,32,34,12,4,5,-8.631247435173538
724,-0.3139592090214157,6,38,3,31,24,-8.633878248088932
1406,-0.41126358646150285,8,34,1,25,17,-8.63653531569156
9757,-1.079728813741042,30,37,11,7,9,-8.637830509928335
8673,-1.3289953911668893,27,36,10,5,8,-8.63847004258478
463,-0.4670302668955166,6,24,8,19,18,-8.640059937567056
806,-0.5575195245160769,7,22,9,17,14,-8.641552629999191
7820,-1.571479135160949,25,31,12,5,6,-8.643135243385219
6300,-1.3299678050156523,21,31,12,8,5,-8.64479073260174
9501,-8.645670350005245,30,24,2,1,1,-8.645670350005245
5018,-1.7297493685204195,18,24,3,5,5,-8.648746842602097
7933,-1.330802961097303,25,37,11,6,7,-8.650219247132469
3404,-0.6178742413320213,13,39,4,16,12,-8.650239378648298
705,-0.3204955265676943,6,37,3,30,24,-8.653379217327746
2094,-0.6409976160651406,10,30,5,13,14,-8.653467816879399
11328,-2.1634023711488073,35,32,5,4,4,-8.65360948459523
5851,-1.923561640487613,20,27,19,5,4,-8.656027382194258
2889,-0.7216675764351205,12,32,2,12,12,-8.660010917221445
8704,-1.0189905307606495,27,38,3,5,12,-8.661419511465521
2763,-1.1556769773272306,12,25,9,9,6,-8.667577329954229
10282,-3.4678267607476934,32,28,4,4,1,-8.669566901869233
6521,-4.334785145882538,22,23,5,2,2,-8.669570291765076
5939,-1.0845222888941597,20,32,12,7,9,-8.676178311153278
2539,-0.5791430613997246,11,33,13,17,13,-8.687145920995869
6247,-1.4487640551294387,21,28,16,7,5,-8.692584330776633
2675,-1.5814733847188813,12,20,16,8,3,-8.698103615953848
3988,-1.024240394220586,15,29,18,9,8,-8.706043350874982
3054,-1.9352325362180727,13,20,15,5,4,-8.708546412981327
10361,-1.936216504476234,32,32,7,3,6,-8.712974270143054
6147,-3.486386201639154,21,23,11,2,3,-8.715965504097884
3851,-1.7438896617243425,15,22,14,6,4,-8.719448308621713
464,-0.47140508238990825,6,24,9,19,18,-8.720994024213303
3371,-0.5451479308402706,13,37,9,18,14,-8.72236689344433
6358,-1.4550379995951497,21,34,13,7,5,-8.730227997570898
973,-0.4721229695224538,7,31,5,23,14,-8.734274936165395
7470,-1.1648511697871209,24,33,4,8,7,-8.736383773403407
3386,-0.6025216386649651,13,38,5,17,12,-8.736563760641994
3099,-1.456303577375768,13,23,3,8,4,-8.737821464254608
12738,-1.2482801001527357,39,38,9,6,8,-8.73796070106915
3718,-0.6243166558338792,14,35,14,14,14,-8.740433181674309
10419,-1.589257740345568,32,35,8,4,7,-8.740917571900624
8783,-5.827446630292561,28,24,6,2,1,-8.741169945438841
5378,-1.9427273606929707,19,23,2,4,5,-8.742273123118368
9751,-1.092869478148271,30,37,5,7,9,-8.742955825186169
12540,-5.83060928711711,39,28,1,1,2,-8.745913930675664
10948,-2.187220793838809,34,29,5,5,3,-8.748883175355235
5067,-1.5911780041872232,18,26,14,6,5,-8.751479023029727
4223,-1.7503600710446467,16,22,6,5,5,-8.751800355223233
764,-0.530513066126734,7,20,5,16,17,-8.75346559109111
12331,-2.5018102027299856,38,34,1,5,2,-8.75633570955495
8060,-8.75642459199144,26,24,5,1,1,-8.75642459199144
7397,-1.5937928757251603,24,29,7,5,6,-8.765860816488381
7474,-1.1690118399553784,24,33,8,8,7,-8.767588799665338
974,-0.47414384181366803,7,31,6,23,14,-8.771661073552858
6885,-5.84836882613906,23,22,8,2,1,-8.772553239208591
7452,-1.0972072643244275,24,32,5,7,9,-8.77765811459542
3025,-0.4620020307082607,12,39,5,22,16,-8.778038583456953
4225,-1.756079253214358,16,22,8,5,5,-8.78039626607179
7280,-3.5183328132576777,24,23,4,2,3,-8.795832033144194
7025,-1.2575603564812994,23,29,15,6,8,-8.802922495369096
12370,-1.6006772215729423,38,36,2,6,5,-8.803724718651182
526,-0.4193255377407282,6,27,14,24,18,-8.805836292555293
7235,-8.814725351444414,24,20,16,1,1,-8.814725351444414
2670,-1.6029320669367682,12,20,11,8,3,-8.816126368152226
6572,-2.204210951806666,22,25,18,4,4,-8.816843807226665
5739,-2.5217718258103967,20,22,2,3,4,-8.826201390336388
6853,-8.827838874932267,23,20,14,1,1,-8.827838874932267
8195,-1.7665379772095733,26,31,7,5,5,-8.832689886047866
4347,-1.177744675726824,16,28,16,9,6,-8.83308506795118
2475,-0.7067095429694754,11,30,6,13,12,-8.833869287118443
8477,-3.5338913591060424,27,26,4,3,2,-8.834728397765106
7255,-8.839082141404111,24,21,17,1,1,-8.839082141404111
3247,-0.8419530479939765,13,30,18,13,8,-8.840507003936754
6014,-1.360779168083948,20,36,11,5,8,-8.845064592545663
3486,-1.6096795282665395,14,23,10,6,5,-8.853237405465967
5740,-2.5299348693980757,20,22,3,3,4,-8.854772042893265
9616,-1.7714716930778813,30,30,3,5,5,-8.857358465389407
2584,-0.5211836695746761,11,36,1,19,15,-8.860122382769493
465,-0.4791111553024696,6,24,10,19,18,-8.863556373095689
6104,-8.865946670364554,21,21,6,1,1,-8.865946670364554
5687,-0.8067470257966651,19,39,7,10,12,-8.874217283763317
2533,-0.5917431778203203,11,33,7,17,13,-8.876147667304805
7102,-1.3660484056706148,23,33,16,6,7,-8.879314636858997
7758,-1.7774684983375977,25,28,7,5,5,-8.887342491687988
10454,-1.6163258734164427,32,37,5,5,6,-8.889792303790435
652,-0.32944172150081036,6,34,7,29,25,-8.89492648052188
7738,-1.4843100393887965,25,27,6,6,6,-8.905860236332778
7779,-1.7820152878901838,25,29,9,5,5,-8.910076439450918
7915,-1.6203352722650297,25,36,12,6,5,-8.911843997457664
5393,-1.9807592834029073,19,23,17,4,5,-8.913416775313083
10319,-2.2300813718682737,32,30,3,4,4,-8.920325487473095
6099,-8.930782964369733,21,21,1,1,1,-8.930782964369733
9981,-2.5521008499834457,31,30,7,3,4,-8.93235297494206
7226,-8.933323151354259,24,20,7,1,1,-8.933323151354259
2504,-0.6874042608617269,11,31,16,13,13,-8.93625539120245
7908,-1.6254179206283332,25,36,5,6,5,-8.939798563455833
2890,-0.7451228580625151,12,32,3,12,12,-8.941474296750181
7423,-1.4904344937779048,24,30,14,5,7,-8.94260696266743
11789,-0.8946439653390622,36,39,10,9,11,-8.946439653390621
1428,-0.38897712682236263,8,35,4,26,20,-8.946473916914341
650,-0.33141783625773424,6,34,5,29,25,-8.948281578958824
2676,-1.627024657386831,12,20,17,8,3,-8.94863561562757
8121,-1.6270751837032007,26,27,9,7,4,-8.948913510367603
6066,-0.8952430546206664,20,39,6,10,10,-8.952430546206664
831,-0.5777992166109005,7,23,15,17,14,-8.955887857468959
9361,-1.6292324908836309,29,35,14,4,7,-8.96077869985997
630,-0.33835171792375807,6,33,4,29,24,-8.966320524979588
3369,-0.5604668834830535,13,37,7,18,14,-8.967470135728856
2173,-0.6185861020302529,10,34,8,16,13,-8.969498479438666
5651,-0.9442227669443914,19,37,9,8,11,-8.970116285971718
7171,-1.1962477454825453,23,37,9,5,10,-8.97185809111909
3251,-0.8157566533617832,13,31,3,11,11,-8.973323186979615
5402,-2.2441810146908274,19,24,7,4,4,-8.97672405876331
8139,-1.6321781610725363,26,28,8,5,6,-8.976979885898949
11387,-1.9955761805359622,35,35,7,4,5,-8.98009281241183
3390,-0.6196333127234697,13,38,9,17,12,-8.98468303449031
4268,-1.4979038948689538,16,24,13,6,6,-8.987423369213722
6719,-1.7980109949306384,22,33,13,5,5,-8.990054974653193
4231,-1.7994475029839203,16,22,14,5,5,-8.997237514919602
12314,-2.5722938227844216,38,33,3,4,3,-9.003028379745476
813,-0.5814296994629405,7,22,16,17,14,-9.012160341675578
7651,-9.013266584318119,25,22,14,1,1,-9.013266584318119
2891,-0.7517930090841441,12,32,4,12,12,-9.02151610900973
4348,-1.20316477400866,16,28,17,9,6,-9.02373580506495
9481,-9.027101588588058,30,23,1,1,1,-9.027101588588058
5036,-1.504939671122408,18,25,2,7,5,-9.029638026734448
3451,-1.808320358865307,14,21,13,6,4,-9.041601794326535
