,maxx,i,j,q,orders_long,orders_short,alpha
1108,1.7702817384416467,9,22,12,2,1,2.6554226076624703
2060,2.6483865063771996,16,20,17,2,0,2.6483865063771996
2106,1.7643828197880054,16,28,5,2,1,2.646574229682008
1778,2.6380990046683634,14,20,1,2,0,2.6380990046683634
940,1.2983147629505642,8,20,9,3,1,2.5966295259011285
630,1.0370247414242688,6,20,9,4,1,2.592561853560672
1202,0.862359562840298,9,34,15,3,3,2.587078688520894
2371,2.5739014998179615,18,26,10,2,0,2.5739014998179615
939,1.2803543665023767,8,20,8,3,1,2.5607087330047533
1256,2.5599426954859643,10,22,1,1,1,2.5599426954859643
3456,1.6584272050631732,28,36,6,1,2,2.48764080759476
1103,1.6363325394425094,9,22,7,2,1,2.454498809163764
2313,2.384844758497813,18,20,7,2,0,2.384844758497813
1107,1.5875290648262028,9,22,11,2,1,2.381293597239304
