,maxx,i,j,q,orders_long,orders_short,alpha
3027,11.574752031180276,12,39,7,8,9,98.38539226503235
6331,21.854740382488426,21,33,5,4,5,98.34633172119791
624,7.864396028679738,6,32,17,10,15,98.30495035849673
5921,19.660238962866668,20,31,13,5,5,98.30119481433334
4273,24.560948527837112,16,24,18,2,6,98.24379411134845
7164,28.063472179558307,23,37,2,1,6,98.22215262845407
6664,32.7331661001059,22,30,15,5,1,98.19949830031769
5545,21.808531210865805,19,31,17,5,4,98.13839044889612
6321,19.619437859151805,21,32,14,7,3,98.09718929575902
8251,17.83249856097128,26,34,6,4,7,98.07874208534204
3260,13.069644380784759,13,31,12,7,8,98.0223328558857
8651,24.458768408519475,27,37,7,3,5,97.8350736340779
8294,24.4587423871364,26,36,11,3,5,97.8349695485456
7915,24.45253380241789,25,36,12,3,5,97.81013520967156
4544,21.73228428379674,16,39,4,3,6,97.79527927708533
5942,19.556557401635843,20,32,15,4,6,97.78278700817921
4545,21.72711247660762,16,39,5,3,6,97.77200614473429
7530,21.71888994063567,24,36,7,3,6,97.73500473286052
7089,16.286271498386363,23,33,3,6,6,97.71762899031818
5977,17.766787162517616,20,34,12,3,8,97.71732939384688
930,13.026563440476805,7,28,19,6,9,97.69922580357604
6712,21.70841410022508,22,33,6,4,5,97.68786345101286
5976,17.759106680567026,20,34,11,3,8,97.67508674311864
4346,24.40142173599311,16,28,15,3,5,97.60568694397244
4347,24.39511362713939,16,28,16,3,5,97.58045450855757
8290,24.38844803667243,26,36,7,3,5,97.55379214668972
8618,21.657787091410782,27,35,12,2,7,97.46004191134853
6357,19.475028794981135,21,34,12,4,6,97.37514397490568
5664,21.63589951298211,19,38,3,3,6,97.3615478084195
3026,11.45400874458483,12,39,6,8,9,97.35907432897105
6692,21.63489391188696,22,32,5,4,5,97.35702260349132
2070,12.97472479045099,10,28,19,7,8,97.31043592838243
7110,19.455722435250596,23,34,5,3,7,97.27861217625298
5996,19.451172000750066,20,35,12,3,7,97.25586000375033
7833,21.61239956296748,25,32,6,4,5,97.25579803335366
6736,24.30504955555053,22,34,11,3,5,97.22019822220211
3028,11.436719013795942,12,39,8,8,9,97.2121116172655
3578,16.188407149494243,14,28,7,5,7,97.13044289696546
5588,17.642720403007587,19,34,3,6,5,97.03496221654173
2197,13.860253450913218,10,35,13,6,8,97.02177415639252
7163,27.688899642620328,23,37,1,1,6,96.91114874917115
5923,19.379235750923883,20,31,15,5,5,96.89617875461941
5922,19.366946980722304,20,31,14,5,5,96.83473490361152
2196,13.831099177513964,10,35,12,6,8,96.81769424259775
6323,19.351861832019395,21,32,16,7,3,96.75930916009698
5146,19.346329531243427,18,30,17,6,4,96.73164765621713
7968,21.486406276002157,25,39,8,3,6,96.6888282420097
5155,17.567716644646808,18,31,7,6,5,96.62244154555745
5920,19.322780199495842,20,31,12,5,5,96.6139009974792
7908,24.130328264708552,25,36,5,3,5,96.52131305883421
6284,21.44088346538664,21,30,15,6,3,96.48397559423988
7137,27.562173353870513,23,35,13,2,5,96.46760673854679
6375,17.53094571863837,21,35,11,4,7,96.42020145251104
5143,19.282904931279347,18,30,14,6,4,96.41452465639674
5173,16.069044774277874,18,32,6,6,6,96.41426864566725
4133,14.83182586828351,15,37,11,6,7,96.40686814384281
8633,24.061064046557256,27,36,8,3,5,96.24425618622902
6738,24.036368735933365,22,34,13,3,5,96.14547494373346
6359,19.22319025321621,21,34,14,4,6,96.11595126608105
