,maxx,i,j,z1,z2,orders_long,orders_short,alpha
2589,5.080620317995951,0.25,0.15000000000000002,0.034999999999999996,0.015,6,18,60.96744381595141
192,1.4688410669474115,0.05,0.3,0.01,0.034999999999999996,63,20,60.95690427831757
2041,1.4878317568764419,0.2,0.3,0.005,0.015,31,50,60.257186153495894
1294,1.9425211230932575,0.15000000000000002,0.2,0.01,0.04,49,13,60.21815481589098
2569,7.071302948693854,0.25,0.15000000000000002,0.02,0.04,10,7,60.10607506389776
857,1.7642958614480213,0.1,0.3,0.045,0.02,24,44,59.98605928923273
5755,10.899482509588182,0.45,0.15000000000000002,0.005,0.034999999999999996,3,8,59.947153802735
2358,1.1970552909582834,0.2,0.5,0.005,0.01,31,69,59.85276454791417
2936,1.259241278435865,0.25,0.4,0.01,0.005,17,78,59.813960725703595
3162,1.3128397233676068,0.25,0.55,0.005,0.01,21,70,59.73420741322611
220,1.4392864040958853,0.05,0.3,0.030000000000000002,0.015,33,50,59.730385769979236
1149,1.6359460801320946,0.1,0.5,0.045,0.02,24,49,59.71203192482145
86,1.5908724056975325,0.05,0.2,0.015,0.025,54,21,59.65771521365747
91,1.4717384808375662,0.05,0.2,0.02,0.01,45,36,59.60540847392143
488,1.352185915314352,0.05,0.5,0.025,0.02,39,49,59.49618027383149
1422,1.5036781767957894,0.15000000000000002,0.3,0.025,0.015,29,50,59.39528798343368
2850,1.7688010056172239,0.25,0.35000000000000003,0.005,0.02,21,46,59.254833688177
654,2.4162376868648283,0.1,0.15000000000000002,0.02,0.04,42,7,59.19782332818829
2879,3.815719004275549,0.25,0.35000000000000003,0.02,0.034999999999999996,10,21,59.14364456627101
54,1.876661024621691,0.05,0.15000000000000002,0.02,0.015,45,18,59.114822275583265
1778,1.338762473852419,0.15000000000000002,0.55,0.045,0.01,18,70,58.90554884950644
323,1.098843510507714,0.05,0.4,0.005,0.025,71,36,58.78812781216269
288,1.1927179738456737,0.05,0.35000000000000003,0.030000000000000002,0.01,33,65,58.44318071843801
2849,1.5960088473613028,0.25,0.35000000000000003,0.005,0.015,21,52,58.25432292868755
1351,1.6884746061389622,0.15000000000000002,0.25,0.015,0.025,40,29,58.252373911794194
2818,4.47499841043482,0.25,0.3,0.030000000000000002,0.04,8,18,58.17497933565266
1291,1.6618527364825924,0.15000000000000002,0.2,0.01,0.025,49,21,58.16484577689073
1763,1.1385802338355473,0.15000000000000002,0.55,0.034999999999999996,0.005,19,83,58.06759192561291
3170,1.1601777305900034,0.25,0.55,0.01,0.005,17,83,58.00888652950017
261,1.3808003323740492,0.05,0.35000000000000003,0.01,0.034999999999999996,63,21,57.99361395971007
2930,1.7027908586064664,0.25,0.4,0.005,0.02,21,47,57.89488919261986
827,1.1443497853451021,0.1,0.3,0.030000000000000002,0.005,31,70,57.78966415992766
2732,2.3560363173504926,0.25,0.25,0.030000000000000002,0.015,8,41,57.72288977508707
219,1.2151225485137636,0.05,0.3,0.030000000000000002,0.01,33,62,57.718321054403766
