,close_time,o,h,l,c,v
194,2018-02-27 23:59:59.999,867.98,897.49,860.69,870.11,63487.68425
195,2018-02-28 23:59:59.999,871.84,891.0,850.3,853.5,53620.45209
196,2018-03-01 23:59:59.999,853.5,879.96,848.65,870.63,43785.00503
197,2018-03-02 23:59:59.999,870.63,876.22,850.0,856.28,39436.26006
198,2018-03-03 23:59:59.999,856.27,870.78,852.3,856.02,34170.2942
199,2018-03-04 23:59:59.999,856.51,868.0,836.24,866.66,29735.01829
200,2018-03-05 23:59:59.999,866.61,871.75,847.2,849.84,30567.79813
201,2018-03-06 23:59:59.999,849.81,853.18,803.01,813.11,48658.06883
202,2018-03-07 23:59:59.999,813.31,826.2,718.4,749.9,109013.2838
203,2018-03-08 23:59:59.999,749.02,772.07,684.0,695.46,76312.77819
204,2018-03-09 23:59:59.999,695.48,727.92,640.0,723.71,116545.37303
205,2018-03-10 23:59:59.999,723.65,745.0,673.06,680.58,63012.67972
206,2018-03-11 23:59:59.999,680.58,735.0,659.15,720.85,73967.35869
207,2018-03-12 23:59:59.999,721.0,740.5,676.31,697.11,67732.85988
208,2018-03-13 23:59:59.999,696.52,713.76,680.0,689.94,55735.18315
209,2018-03-14 23:59:59.999,690.16,703.54,585.0,610.1,89904.25415
210,2018-03-15 23:59:59.999,610.1,621.12,570.0,608.83,94426.72453
211,2018-03-16 23:59:59.999,608.83,625.3,584.15,599.05,64720.20994
212,2018-03-17 23:59:59.999,599.03,609.26,544.0,546.95,68022.4592
213,2018-03-18 23:59:59.999,547.98,560.0,450.0,537.0,248817.226
214,2018-03-19 23:59:59.999,537.39,560.0,515.8,556.88,184798.77062
215,2018-03-20 23:59:59.999,556.88,567.87,515.0,557.0,135426.91549
216,2018-03-21 23:59:59.999,557.0,590.52,545.11,559.17,117019.17321
217,2018-03-22 23:59:59.999,559.15,578.6,516.0,539.92,111106.19916
218,2018-03-23 23:59:59.999,539.78,544.72,506.71,543.03,106416.06746
219,2018-03-24 23:59:59.999,543.2,545.99,518.63,520.22,87710.78945
220,2018-03-25 23:59:59.999,521.17,536.0,512.0,523.74,71903.1713
221,2018-03-26 23:59:59.999,523.95,527.67,465.56,485.0,151084.23688
